489;1122;1;923 1
1122;1;923;3 1
1;19;5;308 1
19;5;308;2590 1
5;308;2590;2 1
308;2590;2;5 1
2590;2;5;627 1
2;5;627;542 1
5;627;542;9 1
627;542;9;6 1
542;9;6;1007 1
9;6;1007;42 1
116;45;1278;426 1
45;1278;426;6 1
1278;426;6;10 1
426;6;10;2 1
31;6;2555;4 1
2;25;2546;3 1
1;18;144;251 2
18;144;251;3 2
144;251;3;449 1
251;3;449;30 1
3;449;30;2078 1
449;30;2078;26 1
30;2078;26;0 1
2078;26;0;213 1
26;0;213;20 3
36;91;0;2639 1
91;0;2639;2 1
0;2639;2;320 1
2639;2;320;6 1
2;0;270;6 1
49;0;2137;19 1
0;2137;19;0 1
2137;19;0;871 1
3;0;2507;10 1
0;2507;10;0 1
2507;10;0;92 1
10;0;92;444 1
0;92;444;2 1
92;444;2;1355 1
24;10;2;0 1
10;2;0;543 1
6;0;1254;19 5
0;1254;19;30 1
700;136;80;2543 1
136;80;2543;5 1
80;2543;5;345 1
2543;5;345;11 1
5;345;11;0 1
345;11;0;396 1
11;0;396;2 1
0;396;2;0 4
0;235;46;648 1
235;46;648;0 1
46;648;0;274 1
648;0;274;2 1
0;274;2;270 2
274;2;270;1100 1
2;270;1100;1 1
0;588;2;206 1
452;6;4;0 1
6;4;0;612 1
14;0;376;1 1
14;884;336;0 1
0;155;2;1332 1
155;2;1332;3 1
272;14;452;6 1
14;452;6;16 1
179;1112;31;46 1
1112;31;46;856 1
31;46;856;0 1
46;856;0;533 1
856;0;533;2 1
40;23;5;707 1
23;5;707;31 1
5;707;31;46 1
707;31;46;190 1
31;46;190;25 1
46;190;25;2434 1
190;25;2434;22 1
25;2434;22;0 1
2434;22;0;2175 1
56;25;2071;120 1
92;2516;1151;2 1
2516;1151;2;1087 1
1151;2;1087;323 1
2;1087;323;4 1
1087;323;4;152 1
189;589;272;67 1
589;272;67;187 1
272;67;187;117 1
67;187;117;708 1
187;117;708;4 1
451;189;1331;1 1
6;0;643;4 1
0;643;4;0 1
643;4;0;196 1
4;0;196;2 7
196;2;0;300 1
2;0;300;2293 1
8;1283;440;217 1
1283;440;217;0 1
440;217;0;481 1
203;16;422;0 1
16;422;0;801 1
2;272;83;4 1
272;83;4;0 1
83;4;0;159 1
4;0;159;2 1
882;23;187;1512 1
23;187;1512;4 1
401;59;0;438 1
59;0;438;351 1
0;438;351;2 1
438;351;2;0 1
351;2;0;574 1
2;0;574;4 3
49;0;569;2 1
0;569;2;0 1
1154;309;50;569 1
309;50;569;4 1
1;0;420;924 1
0;420;924;702 1
420;924;702;864 1
924;702;864;194 1
702;864;194;308 1
2;0;157;3 5
0;157;3;1136 1
157;3;1136;25 1
3;1136;25;544 1
0;343;2489;2 1
343;2489;2;0 1
23;513;0;589 1
513;0;589;353 1
0;589;353;2 1
589;353;2;0 1
353;2;0;489 1
14;0;1489;4 1
98;42;0;457 1
42;0;457;2 17
0;457;2;0 32
22;50;322;20 1
50;322;20;0 1
144;5;700;49 1
5;700;49;9 1
700;49;9;106 1
49;9;106;0 1
9;106;0;1852 1
106;0;1852;2 1
71;918;19;402 1
918;19;402;994 1
19;402;994;194 1
402;994;194;59 1
6;143;539;59 1
143;539;59;0 1
539;59;0;816 1
59;0;816;4 1
1145;27;1504;25 1
27;1504;25;489 1
1504;25;489;542 1
25;489;542;203 1
489;542;203;0 1
23;15;446;2 1
15;446;2;300 1
446;2;300;1956 1
2;300;1956;15 1
300;1956;15;23 1
1956;15;23;0 1
22;0;950;2 11
718;2;25;101 1
544;128;2;0 1
128;2;0;187 1
